address,tx_count,balance_eth,unique_token_count,total_token_usd_value,spam_token_count,active_days,avg_tx_per_active_day,contract_interactions,first_tx_timestamp,last_tx_timestamp,wallet_age_days,avg_tx_value_eth,std_tx_value_eth,max_tx_value_eth,min_tx_value_eth,unique_interacted_addresses,tx_time_entropy,tx_value_entropy,gas_spent_total_eth,avg_gas_price_gwei,failed_tx_count,failed_tx_ratio,incoming_tx_count,outgoing_tx_count,self_transfer_count,unique_contract_count,nft_token_count,defi_token_count,dust_balance_count
0x651a3f6daaa11450c01d4d07a8b66cb45fd5a615,0,7e-15,11,0.04726350512918477,0,1411,0.0,0,2021-12-15 17:22:42+00:00,2025-10-26 20:00:35+00:00,1411,0.08815975177971096,0.25013012322628225,1.8,0.0,49,4.0160720187166845,2.379796769343426,1.3766544679352077,59.7055171601573,0,0.0,15,57,0,0,0,0,2
0x637d16d6f0eeeb5a9ba377b2c6d4b76f99503f51,0,0.0,1,0.0,0,1274,0.0,0,2022-04-23 14:55:57+00:00,2025-10-18 20:01:59+00:00,1282,0.018958933433652618,0.02979162584859072,0.1765,0.0,18,3.7056818195007493,4.042338203689224,0.1472848792540653,60.13018777744445,0,0.0,16,35,0,0,0,0,0
0xa7cfc0237a0d587f3b5955002b7c11448027eae8,0,1.5554e-14,1,6.484858e-11,0,1311,0.0,0,2022-03-17 02:06:37+00:00,2025-10-18 23:20:59+00:00,1320,0.0008883927191454937,0.0018829069316932741,0.006395048752935,0.0,10,3.0062389273549632,1.2366407413640892,0.15365894558510923,17.55411999953333,0,0.0,4,7,0,0,0,0,1
0x40304ef4f563a176cac9a793b14504b1521ef1d9,0,0.0,25,0.058497529,16,1834,0.0,0,2020-10-10 05:54:02+00:00,2025-10-19 05:13:23+00:00,1843,0.008628328257693954,0.029780321920481523,0.23,0.0,42,3.608016119743608,2.4728765848103094,0.3745849991922801,63.989507352420006,2,0.0,30,66,5,0,0,3,0
0xf08e4e2ed66c0895afd25ba5ca265001a9bbd6cf,0,0.0,1,0.0,0,1240,0.0,0,2022-05-27 13:44:31+00:00,2025-10-19 04:55:23+00:00,1248,0.06816035363197037,0.09135209246199374,0.36,0.0,23,3.692652505737834,4.118730882897351,0.1473399201819337,41.447021361285714,2,0.0,11,31,0,0,0,0,0
0x5c8003d44f8278b20a508cb432b1e15dffbc30dc,0,3.855e-15,3,1.6072473e-11,0,1277,0.0,0,2022-04-21 03:45:32+00:00,2025-10-19 05:07:59+00:00,1285,0.041185954652527564,0.09236346547618607,0.39347629,0.0,26,3.7469531467857493,2.8425938393653465,0.5877361879543085,32.835429179764716,0,0.0,14,67,0,0,0,0,1
0x421c905bdb2a68c0b2e7669494a4b1a6f51fea88,0,4.872e-15,13,0.000760788520312606,6,1429,0.0,0,2021-11-19 05:18:09+00:00,2025-10-19 05:11:47+00:00,1438,0.013904998834438808,0.03342293922449461,0.2211,0.0,34,3.9574460842177364,2.957999035991344,0.21370534442102015,45.65690977439999,16,0.0,27,68,0,0,0,0,2
0x45cb8f99200bacf05f292f39bbd64c1249cce0cb,0,2.0378e-14,7,0.05805905508496106,2,1314,0.0,0,2022-03-14 22:32:24+00:00,2025-10-19 04:37:11+00:00,1322,0.004415219151161683,0.007560815766732693,0.02792704,0.0,19,4.005483730337701,2.0569287328568366,0.08782628121381403,17.11242273260465,0,0.0,9,23,0,0,0,0,1
0xc4359af4b735b979c38a76af9cbc6838841d04a6,0,9.681e-15,15,0.015900709040366716,3,1104,0.0,0,2022-10-11 14:10:59+00:00,2025-10-19 15:59:47+00:00,1111,0.007736775705008736,0.036740996669824166,0.34,0.0,52,3.9788004050340406,2.0021639205287594,0.34486981215763407,17.2574147259,1,0.0,15,68,0,0,0,0,2
0xdf15bd46ef65ac5cae6c8070e06b1dd18e9e05f3,0,0.0,1,0.0,0,1290,0.0,0,2022-04-06 21:16:54+00:00,2025-10-18 12:59:47+00:00,1299,0.020209515651387833,0.026276187541981702,0.06565223,0.0,6,1.9182958334774112,1.7924812497834999,0.015302431528278947,31.471645391,0,0.0,1,3,0,0,0,0,0
